"lang"
{
  "Language"		"English"
    "DOTA_Tooltip_modifier_attack_hero_Description"                "Damage Against:<br><font color='#00C400'>Heavy: 110%%</font><br><font color='#00C400'>Unarmored: 110%%</font><br><font color='#00C400'>Light: 110%%</font><br><font color='#00C400'>Medium: 110%%</font><br><font color='#C40000'>Fortified: 60%%</font><br><font color='#C40000'>Divine: 40%%</font>"

    "DOTA_Tooltip_modifier_attack_chaos"                           "Attack Type: Chaos"
    "DOTA_Tooltip_modifier_attack_chaos_Description"               "Damage Against:<br><font color='#E5DE23'>Heavy: 100%%</font><br><font color='#E5DE23'>Unarmored: 100%%</font><br><font color='#E5DE23'>Light: 100%%</font><br><font color='#E5DE23'>Medium: 100%%</font><br><font color='#E5DE23'>Fortified: 100%%</font><br><font color='#E5DE23'>Divine: 100%%</font>"

    // Castle Fight Armor/Weapon
    //          Unarmored Light Medium  Heavy Fortified  Divine  Hero
    //  Normal  105%      70%   175%    100%  50%        25%     60%
    //  Pierce  105%      175%  100%    70%   45%        25%     60%
    //  Magic   105%      100%  70%     175%  40%        25%     60%
    //  Chaos   100%      100%  100%    100%  100%       100%    100%
    //  Siege   100%      70%   70%     70%   160%       20%     40%
    //  Hero    110%      110%  110%    110%  60%        40%     60%
    //  Spells  100%      100%  100%    100%  25%        25%     60%
                                                                   
    "DOTA_Tooltip_modifier_armor_unarmored"                        "Armor Type: Unarmored"
    "DOTA_Tooltip_modifier_armor_unarmored_Description"            "Damage From:<br><font color='#E5DE23'>Hero: 110%%</font><br><font color='#E5DE23'>Normal: 105%%</font><br><font color='#E5DE23'>Pierce: 105%%</font><br><font color='#E5DE23'>Magic: 105%%</font><br><font color='#E5DE23'>Chaos: 100%%</font><br><font color='#E5DE23'>Siege: 100%%</font>"

    "DOTA_Tooltip_modifier_armor_light"                            "Armor Type: Light"
    "DOTA_Tooltip_modifier_armor_light_Description"                "Damage From:<br><font color='#C40000'>Pierce: 175%%</font><br><font color='#E5DE23'>Hero: 110%%</font><br><font color='#E5DE23'>Magic: 100%%</font><br><font color='#E5DE23'>Chaos: 100%%</font><br><font color='#00C400'>Normal: 70%%</font><br><font color='#00C400'>Siege: 70%%</font>"

    "DOTA_Tooltip_modifier_armor_medium"                           "Armor Type: Medium"
    "DOTA_Tooltip_modifier_armor_medium_Description"               "Damage From:<br><font color='#C40000'>Normal: 175%%</font><br><font color='#E5DE23'>Hero: 110%%</font><br><font color='#E5DE23'>Pierce: 100%%</font><br><font color='#E5DE23'>Chaos: 100%%</font><br><font color='#00C400'>Magic: 70%%</font><br><font color='#00C400'>Siege: 70%%</font>"

    "DOTA_Tooltip_modifier_armor_heavy"                            "Armor Type: Heavy"
    "DOTA_Tooltip_modifier_armor_heavy_Description"                "Damage From:<br><font color='#C40000'>Magic: 175%%</font><br><font color='#E5DE23'>Hero: 110%%</font><br><font color='#E5DE23'>Normal: 100%%</font><br><font color='#E5DE23'>Chaos: 100%%</font><br><font color='#00C400'>Pierce: 70%%</font><br><font color='#00C400'>Siege: 70%%</font>"

    "DOTA_Tooltip_modifier_armor_fortified"                        "Armor Type: Fortified"
    "DOTA_Tooltip_modifier_armor_fortified_Description"            "Damage From:<br><font color='#E5DE23'>Chaos: 100%%</font><br><font color='#E5DE23'>Siege: 100%%</font><br><font color='#00C400'>Hero: 60%%</font><br><font color='#00C400'>Normal: 50%%</font><br><font color='#00C400'>Pierce: 45%%</font><br><font color='#00C400'>Magic: 40%%</font>"

    "DOTA_Tooltip_modifier_armor_hero"                             "Armor Type: Hero"
    "DOTA_Tooltip_modifier_armor_hero_Description"                 "Damage From:<br><font color='#E5DE23'>Chaos: 100%%</font><br><font color='#00C400'>Hero: 60%%</font><br><font color='#00C400'>Normal: 60%%</font><br><font color='#00C400'>Pierce: 60%%</font><br><font color='#00C400'>Magic: 60%%</font><br><font color='#00C400'>Siege: 40%%</font>"

    "DOTA_Tooltip_modifier_armor_divine"                           "Armor Type: Divine"
    "DOTA_Tooltip_modifier_armor_divine_Description"               "Damage From:<br><font color='#E5DE23'>Chaos: 100%%</font><br><font color='#00C400'>Hero: 40%%</font><br><font color='#00C400'>Normal: 25%%</font><br><font color='#00C400'>Pierce: 25%%</font><br><font color='#00C400'>Magic: 25%%</font><br><font color='#00C400'>Siege: 20%%</font>"


    // Generic Abilities / Modifiers

    "DOTA_Tooltip_modifier_splash_attack"                          "Splash Attack"
    "DOTA_Tooltip_modifier_splash_attack_Description"              "This unit spreads a portion of its attack damage in the area of impact.<br>Attacks vs Armor types still apply."

    "DOTA_Tooltip_Ability_splash_attack"                           "Splash Damage"
    "DOTA_Tooltip_Ability_splash_attack_Description"               "This unit spreads a portion of its attack damage in the area of impact.<br>Attack vs Armor types still apply."

    "DOTA_Tooltip_modifier_bash_chance_custom"                     "Bash"
    "DOTA_Tooltip_modifier_bash_chance_custom_Description"         "This unit has a chance to stun the enemy on each attack."

    "DOTA_Tooltip_modifier_critical_strike_custom"                 "Critical Strike"
    "DOTA_Tooltip_modifier_critical_strike_custom_Description"     "This unit has a chance to do extra damage on each attack."

    "DOTA_Tooltip_modifier_bash_custom"                            "Bashed"
    "DOTA_Tooltip_modifier_bash_custom_Description"                "This unit is stunned."

    "DOTA_Tooltip_modifier_custom_cleave"                          "Cleave"
    "DOTA_Tooltip_modifier_custom_cleave_Description"              "Attacks do damage to units behind the target."

    "DOTA_Tooltip_modifier_custom_evasion"                         "Evasion"
    "DOTA_Tooltip_modifier_custom_evasion_Description"             "This unit has a chance to evade some incoming attacks."

    "DOTA_Tooltip_modifier_feedback_custom"                   "Feedback"
    "DOTA_Tooltip_modifier_feedback_custom_Description"       "Burns %mana_burn% mana on each attack, dealing %mana_to_damage%%% of the mana burned as damage."

    "DOTA_Tooltip_modifier_damage_return"                   "Damage Return"
    "DOTA_Tooltip_modifier_damage_return_Description"       "When this unit is attacked, the attacker takes damage."
    
    "DOTA_Tooltip_modifier_demolish"                   "Demolish"
    "DOTA_Tooltip_modifier_demolish_Description"       "This unit deals extra damage to buildings."

    "DOTA_Tooltip_modifier_pulverize"                   "Pulverize"
    "DOTA_Tooltip_modifier_pulverize_Description"       "This unit has a chance to deal damage in an AoE on each attack."

    "DOTA_Tooltip_modifier_damage_reduction"                   "Damage Reduction"
    "DOTA_Tooltip_modifier_damage_reduction_Description"       "This unit has a chance to take less damage upon being attacked."

    "DOTA_Tooltip_Ability_legendary_spell_resistance"  "Legendary Spell Resistance"
    "DOTA_Tooltip_Ability_legendary_spell_resistance_Description"  "This unit shrugs off the effects of most spells"
    "DOTA_Tooltip_Ability_legendary_spell_resistance_magic_resist"  "MAGIC RESIST:"
    "DOTA_Tooltip_Ability_legendary_spell_resistance_status_resist"  "STATUS RESIST:"
    
    "castle"              "Castle"
    "treasure_box"        "Treasure Box"

    // Human Structures
    "barracks"             "Barracks"
    "stronghold"           "Stronghold"
    "sniper_nest"          "Sniper Nest"
    "gunners_hall"         "Gunner's Hall"
    "marksmens_encampment" "Marksmen's Encampment"
    "weapon_lab"           "Weapons Lab"
    "gryphon_rock"         "Gryphon Rock"
    "chapel"               "Chapel"
    "church"               "Church"
    "hjordhejmen"          "Hjordhejmen"
    "gjallarhorn"          "Gjallarhorn"
    "artillery"            "Artillery"
    "watch_tower"          "Watch Tower"
    "heroic_shrine"        "Heroic Shrine"

    // Human Units
    "footman"             "Footman"
    "defender"            "Defender"
    "sniper"              "Sniper"
    "heavy_gunner"        "Heavy Gunner"
    "marksman"            "Marksman"
    "mortar"              "Mortar"
    "gryphon_rider"       "Gryphon Rider"
    "crusader"            "Crusader"
    "paladin"             "Paladin"
    "warlock"             "Warlock"

    // Generic Items
    "DOTA_Tooltip_Ability_item_build_treasure_box"             "Build Treasure Box"
    "DOTA_Tooltip_Ability_item_build_treasure_box_Description" "<font color='#FFBF00'>Support Building</font>\nGives 25%% extra income, additional treasure box gives 15%% less than previous (25%%, 21.5%%, 18.06%% etc.)"
    "DOTA_Tooltip_Ability_treasure_box_income"                  "Treasure Box Income"
    "DOTA_Tooltip_Ability_treasure_box_income_Description"     "<font color='#FFBF00'>Support Building</font>\nGives 25%% extra income, additional treasure box gives 15%% less than previous (25%%, 21.5%%, 18.06%% etc.)"

    "DOTA_Tooltip_Ability_item_rescue_strike"                  "Rescue Strike"
    "DOTA_Tooltip_Ability_item_rescue_strike_Description"      "Instantly kills all enemy units in a large AOE. Consumed on use."

    "DOTA_Tooltip_Ability_item_building_self_destruct"             "Self Destruct"
    "DOTA_Tooltip_Ability_item_building_self_destruct_Description" "Destroys this building. Refunds 50%% of the gold cost of the building. \n\n Can not be used if the building has recently taken damage."

    "DOTA_Tooltip_Ability_item_building_cancel"                "Cancel"
    "DOTA_Tooltip_Ability_item_building_cancel_Description"    "Prevent this building from posting on twitter dot com."

    // Human Build Abilities
    "DOTA_Tooltip_Ability_train_footman"                        "Train Footman"
    "DOTA_Tooltip_Ability_train_footman"                        "Train Footman"
    "DOTA_Tooltip_Ability_train_footman_Description"            "<h1>Footman</h1>Attack: Normal (melee)<br>Armor: Heavy"
    "DOTA_Tooltip_Ability_train_defender"                       "Train Defender"
    "DOTA_Tooltip_Ability_train_defender_Description"           "<h1>Defender</h1>Attack: Normal (melee)<br>Armor: Heavy\n\n<h1>Abilities:</h1>- Evade (15%)<br>- Defend (Reduces damage from ranged attacks)"
    "DOTA_Tooltip_Ability_build_barracks"                       "Build Barracks"
    "DOTA_Tooltip_Ability_build_barracks_Lore"                  "Upgrades: 1"
    "DOTA_Tooltip_Ability_build_barracks_Description"           "<font color='#62bc25'>Unit Trainer</font>\n<h1>Footman</h1>Attack: Normal (melee)<br>Armor: Heavy"
    "DOTA_Tooltip_Ability_upgrade_stronghold"                   "Upgrade to Stronghold"
    "DOTA_Tooltip_Ability_upgrade_stronghold_Lore"              "Upgrades: 0"
    "DOTA_Tooltip_Ability_upgrade_stronghold_Description"       "<font color='#62bc25'>Unit Trainer</font>\n<h1>Defender</h1>Attack: Normal (melee)<br>Armor: Heavy\n\n<h1>Abilities:</h1>- Evade (15%)<br>- Defend (Reduces damage from ranged attacks)"
    
    "DOTA_Tooltip_Ability_build_gryphon_rock"                   "Build Gryphon Rock"
    "DOTA_Tooltip_Ability_build_gryphon_rock_Lore"              "Upgrades: 0"
    "DOTA_Tooltip_Ability_build_gryphon_rock_Description"       "<font color='#62bc25'>Unit Trainer</font>\n<h1>Gryphon Rider</h1>Attack: Magic (450 range)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Flying<br>- Chain Lightning (10%, 125 damage)"
    "DOTA_Tooltip_Ability_train_gryphon_rider"                  "Train Gryphon Rider"
    "DOTA_Tooltip_Ability_train_gryphon_rider_Description"      "<h1>Gryphon Rider</h1>Attack: Magic (450 range)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Flying<br>- Chain Lightning (10%, 125 damage)"
    

    "DOTA_Tooltip_Ability_build_sniper_nest"                          "Build Sniper Nest"
    "DOTA_Tooltip_Ability_build_sniper_nest_Lore"                     "Upgrades: 2"
    "DOTA_Tooltip_Ability_build_sniper_nest_Description"              "<font color='#62bc25'>Unit Trainer</font>\n<h1>Sniper</h1>Attack: Piercing (500 range)<br>Armor: Medium"
    "DOTA_Tooltip_Ability_train_sniper"                               "Train Sniper"
    "DOTA_Tooltip_Ability_train_sniper_Description"                   "<h1>Sniper</h1>Attack: Piercing (500 range)<br>Armor: Medium"

    "DOTA_Tooltip_Ability_upgrade_gunners_hall"                         "Upgrade to Gunner's Hall"
    "DOTA_Tooltip_Ability_upgrade_gunners_hall_Lore"                    "Upgrades: 0"
    "DOTA_Tooltip_Ability_upgrade_gunners_hall_Description"             "<font color='#62bc25'>Unit Trainer</font>\n<h1>Heavy Gunner</h1>Attack: Piercing (650 range)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Splash Damage<br>- Critical Strike (20%, 2x)<br>- <font color='#C40000'>Can't attack air</font>"

    "DOTA_Tooltip_Ability_train_heavy_gunner"                         "Train Heavy Gunner"
    "DOTA_Tooltip_Ability_train_heavy_gunner_Lore"                    "Upgrades: 0"
    "DOTA_Tooltip_Ability_train_heavy_gunner_Description"             "<h1>Heavy Gunner</h1>Attack: Piercing (650 range)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Splash Damage<br>-Critical Strike (20%, 2x)<br>- <font color='#C40000'>Can't attack air</font>"

    "DOTA_Tooltip_Ability_upgrade_marksmens_encampment"                 "Upgrade to Marksmen's Encampment"
    "DOTA_Tooltip_Ability_upgrade_marksmens_encampment_Lore"            "Upgrades: 0"
    "DOTA_Tooltip_Ability_upgrade_marksmens_encampment_Description"     "<font color='#62bc25'>Unit Trainer</font>\n<h1>Marksmann</h1>Attack: Piercing (500 range)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Critical Strike (40%, 3x)<br>- <font color='#C40000'>Can't attack ground</font>"
    "DOTA_Tooltip_Ability_train_marksman"                             "Train Marksman"
    "DOTA_Tooltip_Ability_train_marksman_Description"                 "<h1>Heavy Gunner</h1>Attack: Piercing (500 range)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Critical Strike (40%, 3x)<br>- <font color='#C40000'>Can't attack ground</font>"

    "DOTA_Tooltip_Ability_build_weapon_lab"                     "Build Weapons Lab"
    "DOTA_Tooltip_Ability_build_weapon_lab_Lore"                "Upgrades: 0"
    "DOTA_Tooltip_Ability_build_weapon_lab_Description"         "<font color='#995a0a'>Siege Unit Trainer</font>\n<h1>Mortar</h1>Attack: Siege (1000 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Splash Damage<br>- <font color='#C40000'>Can't attack air</font>"
    "DOTA_Tooltip_Ability_train_mortar"                         "Train Mortar"
    "DOTA_Tooltip_Ability_train_mortar_Description"             "<h1>Mortar</h1>Attack: Siege (1000 range)<br>Armor: Light\n\n<h1>Abilities</h1>- Splash Damage<br>- <font color='#C40000'>Can't attack air</font>"

    "DOTA_Tooltip_Ability_build_chapel"                  "Build Chapel" 
    "DOTA_Tooltip_Ability_build_chapel_Lore"             "Upgrades: 1" 
    "DOTA_Tooltip_Ability_build_chapel_Description"      "<font color='#62bc25'>Unit Trainer</font>\n<h1>Crusader</h1>Attack: Hero (melee)<br>Armor: Heavy\n\n<h1>Abilities:</h1>- Bash (20%%, 25dmg, 2sec)<br>- Blessing (+6 armor, +7hp/sec, +100hp)" 
    "DOTA_Tooltip_Ability_train_crusader"                "Train Crusader" 
    "DOTA_Tooltip_Ability_train_crusader_Description"    "<h1>Crusader</h1>Attack: Hero (melee)<br>Armor: Heavy\n\n<h1>Abilities:</h1>- Bash (20%, 25dmg, 2sec)<br>- Blessing (+6 armor, +7hp/sec, +100hp)" 
    "DOTA_Tooltip_Ability_upgrade_church"                "Upgrade to Church" 
    "DOTA_Tooltip_Ability_upgrade_church_Lore"           "Upgrades: 0" 
    "DOTA_Tooltip_Ability_upgrade_church_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Paladin</h1>Attack: Hero (melee)<br>Armor: Heavy\n\n<h1>Abilities:</h1>- Bash (20%%, 25dmg, 2sec)<br>- Blessing (+9 armor, +14hp/sec, +100hp)<br>- Resurrection (resurrects an allied non-legendary unit)<br>- Armor Aura (+3)" 
    "DOTA_Tooltip_Ability_train_paladin"                 "Train Paldin" 
    "DOTA_Tooltip_Ability_train_paladin_Description"     "<h1>Paladin</h1>Attack: Hero (melee)<br>Armor: Heavy\n\n<h1>Abilities:</h1>- Bash (20%, 25dmg, 2sec)<br>- Blessing (+9 armor, +14hp/sec, +100hp)<br>- Resurrection (resurrects an allied non-legendary unit)<br>- Armor Aura (+3)" 

    "DOTA_Tooltip_Ability_build_hjordhejmen"             "Build Hjordhejmen" 
    "DOTA_Tooltip_Ability_build_hjordhejmen_Lore"        "Upgrades: 0" 
    "DOTA_Tooltip_Ability_build_hjordhejmen_Description" "<font color='#62bc25'>Unit Trainer</font>\n<h1>Warlock</h1>Attack: Chaos (160 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Chamber of Darkness (270 dmg, 300 aoe)" 
    "DOTA_Tooltip_Ability_train_warlock"                 "Train Warlock" 
    "DOTA_Tooltip_Ability_train_warlock_Description"     "<h1>Warlock</h1>Attack: Chaos (160 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Chamber of Darkness (270 dmg, 300 aoe)" 

    "DOTA_Tooltip_Ability_build_gjallarhorn"             "Build Gjallarhorn"
    "DOTA_Tooltip_Ability_build_gjallarhorn_Description" "Passive: Holy Power (Increases the attack speed of nearby allied units by 30%%.)"
    "DOTA_Tooltip_Ability_item_build_gjallarhorn"             "Build Gjallarhorn"
    "DOTA_Tooltip_Ability_item_build_gjallarhorn_Description" "<font color='#FFBF00'>Support Building</font>\nPassive: Holy Power (Increases the attack speed of nearby allied units by 30%%.)"

    "DOTA_Tooltip_Ability_build_artillery"               "Build Artillery"
    "DOTA_Tooltip_Ability_build_artillery_Description"   "Shoots artillery shells at the enemy base. Deals 300-400 siege damage. Not very accurate but very destructive if it hits the target. Strong AOE damage."
    "DOTA_Tooltip_Ability_item_build_artillery"               "Build Artillery"
    "DOTA_Tooltip_Ability_item_build_artillery_Description"   "<font color='#C40000'>Killing Building</font>\nShoots artillery shells at the enemy base. Deals 300-400 siege damage. Not very accurate but very destructive if it hits the target. Strong AOE damage."

    "DOTA_Tooltip_Ability_build_watch_tower"             "Build Watch Tower"    
    "DOTA_Tooltip_Ability_build_watch_tower_Lore"        "<h1>A defensive tower that protects strategic locations.</h1>\n\nAttack: Piercing (range 950)\nArmor: Fortified"
    "DOTA_Tooltip_Ability_item_build_watch_tower"        "Build Watch Tower"    
    "DOTA_Tooltip_Ability_item_build_watch_tower_Description"   "<font color='#a3098c'>Tower</font>\nA defensive tower that protects a strategic location.\nAttack: Piercing (range 950)\nArmor: Fortified"

    "DOTA_Tooltip_Ability_build_heroic_shrine"              "Build Heroic Shrine" 
    "DOTA_Tooltip_Ability_build_heroic_shrine_Description"  "<font color='#FFBF00'>Support Building</font>\nCall to Arms: Buffs 4 friendly training buildings. They will produce an additional unit fighting for the owner of the Altar. Does not buff legendary buildings." 

    "DOTA_Tooltip_Ability_item_build_heroic_shrine"             "Build Heroic Shrine" 
    "DOTA_Tooltip_Ability_item_build_heroic_shrine_Description" "<font color='#FFBF00'>Support Building</font>\nCall to Arms: Buffs 4 friendly training buildings. They will produce an additional unit fighting for the owner of the Altar. Does not buff legendary buildings." 

    // Human Unit Abilities

    "DOTA_Tooltip_Ability_defender_evasion"                     "Evade"
    "DOTA_Tooltip_Ability_defender_evasion_Evasion"             "%Evasion:"
    "DOTA_Tooltip_Ability_defender_evasion_Description"         "This unit has a chance to evade some attacks."
    "DOTA_Tooltip_Ability_defender_evasion_evade"               "Evasion:"
    "DOTA_Tooltip_Ability_defender_defend"                      "Defend"
